file_name,sha256,size_bytes,width,height,source_batch,domain,annotation_status
01_comms_possible.png,530f948aad73b92f0ec1551170be253eb788701c604d81572489c112719e1a7d,2614682,1536,1024,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
02_weapon_station_severe.png,4f44b28380dfa52093a083575ee1548f6c7761e4d1b888a368acb1451932807f,2780598,1536,1024,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
03_windshield_severe.png,68450ddbc0670440bc2e300b747f9f77a519c08efc9332f7fce06c4d6d9707bc,2784856,1536,1024,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
04_door_possible.png,8c6913f6766d0acd7b77df43f32d157aadadd87700a9df04e28661175677cd58,2628535,1448,1086,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
05_engine_bay_unobservable.png,6a6bc6fbce7134ae37acae394f6c5c0f9c3e32b7872bb07d42cce55674789e3b,2133989,1536,1024,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
06_wheel_tire_severe.png,9637def7470a65bb03b13a0f986526018b536ee10de5deabd68271d2ec85223b,2930332,1536,1024,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
07_comms_intact.png,dec990ce64d2417bbbd6d8bc175d74375b0e50cd7a5baa1b546544785b97d9c7,2503415,1448,1086,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
08_comms_severe.png,6175b4fbef4256c92e365b2658a3db977638185a1fe5ea0ed7043371ecd73d73,2468495,1448,1086,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
09_weapon_possible.png,5e064349e5735d2bc2282aa89c4300191f95a98704e98c465e6918c5526038fe,2359729,1448,1086,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
10_weapon_intact.png,326b2ca0def369beb7f8bfbaafb1c61c613436446b5dea24a1713630555e0468,2428961,1448,1086,synthetic_unlabeled_v1,synthetic,reviewed_dominant_component
